Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
RFC5	replication factor C subunit 5		RFC36	NM_007370	5985	5985	NM_001130112
RFC5P1	replication factor C 5 pseudogene 1				100421549	100421549	NG_023928
RFESD	Rieske Fe-S domain containing			NM_173362	317671	317671	NM_001131065
RFESDP1	Rieske (Fe-S) domain containing pseudogene 1				100129167	100129167	NG_028978
RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase		rififylin, fring, RNF189, RNF34L, CARP2, CARP-2	NM_057178	117584	117584	NM_001017368
RFK	riboflavin kinase		FLJ11149, RIFK	NM_018339	55312	55312	NM_018339
RFKP1	riboflavin kinase pseudogene 1			NG_016107	100313962	100313962	NG_016107
RFKP2	riboflavin kinase pseudogene 2			NG_016114	100132753	100132753	NG_016114
RFKP3	RFK pseudogene 3					127379691	NG_115692
RFKP4	RFK pseudogene 4			NG_016110	100313968	100313968	NG_016110
RFKP5	RFK pseudogene 5				100129948	100129948	NG_016106
RFKP6	RFK pseudogene 6					127482545	NG_148551
RFLNA	refilin A	FAM101A	FLJ44614, Cfm2, RefilinA	NM_181709	144347	144347	NM_001365156
RFLNB	refilin B	FAM101B	MGC45871, RefilinB, Cfm1	NM_182705	359845	359845	NM_182705
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase			NM_002917	5986	5986	NM_002917
RFP2OS	symbol withdrawn, see [HGNC:13748](/data/gene-symbol-report/#!/hgnc_id/HGNC:13748)						
RFPL1	ret finger protein like 1		RNF78	NM_021026	5988	5988	NM_001393612
RFPL1S	RFPL1 antisense RNA 1	RFPL1-AS1	RFPL1-AS, NCRNA00006	NR_002727	10740	10740	NR_002727
RFPL2	ret finger protein like 2		RNF79	NM_006605	10739	10739	NM_001098527
RFPL3	ret finger protein like 3		RNF120	NM_006604	10738	10738	NM_001098535
RFPL3S	RFPL3 antisense	RFPL3-AS1	RFPL3-AS, NCRNA00005		10737	10737	NR_001450
RFPL4A	ret finger protein like 4A	RFPL4	RNF210	NM_001145014	342931	342931	NM_001145014
RFPL4AL1	ret finger protein like 4A like 1		RNF210B		729974	729974	NM_001277397
RFPL4AP1	ret finger protein like 4A pseudogene 1				646663	646663	NG_006134
RFPL4AP2	ret finger protein like 4A pseudogene 2				100420059	100420059	NG_026110
RFPL4AP3	ret finger protein like 4A pseudogene 3					106480810	NG_045214
RFPL4AP4	ret finger protein like 4A pseudogene 4				100420036	100420036	NG_025174
RFPL4AP5	ret finger protein like 4A pseudogene 5				100420058	100420058	NG_026072
RFPL4AP6	ret finger protein like 4A pseudogene 6				100130079	100130079	NG_022877
RFPL4AP7	ret finger protein like 4A pseudogene 7				100420055	100420055	NG_026025
RFPL4B	ret finger protein like 4B		RNF211	NM_001013734	442247	442247	NM_001013734
RFT1	RFT1 homolog		CDG1N	NM_052859	91869	91869	NM_052859
RFTN1	raftlin, lipid raft linker 1		MIG2, KIAA0084, FLJ23866, Raftlin	NM_015150	23180	23180	NM_015150
RFTN1P1	raftlin, lipid raft linker 1 pseudogene 1			NG_002933	360015	360015	NG_002933
RFTN2	raftlin family member 2	C2orf11	FLJ30574, Raftlin-2	NM_144629	130132	130132	NM_144629
RFWD3	ring finger and WD repeat domain 3		FLJ10520, RNF201, FANCW	NM_018124	55159	55159	NM_001370534
RFX1	regulatory factor X1		EF-C	NM_002918	5989	5989	NM_002918
RFX2	regulatory factor X2		FLJ14226	NM_000635	5990	5990	NM_000635
RFX3	regulatory factor X3			NM_002919	5991	5991	NM_001282116
RFX3-DT	RFX3 divergent transcript	RFX3-AS1		NR_121586	101929302	101929302	NR_121586
RFX4	regulatory factor X4			NM_032491	5992	5992	NM_001206691
RFX5	regulatory factor X5			NM_000449	5993	5993	NM_000449
RFX5-AS1	RFX5 antisense RNA 1		GBAT2	NR_131972	101927886	101927886	NR_131972
RFX6	regulatory factor X6	RFXDC1	MGC33442, dJ955L16.1	NM_173560	222546	222546	NM_173560
RFX7	regulatory factor X7	RFXDC2	FLJ12994	NM_022841	64864	64864	NM_001368073
RFX8	regulatory factor X8		FLJ42986	NM_001145664	731220	731220	NM_001145664
RFXANK	regulatory factor X associated ankyrin containing protein		BLS, RFX-B, ANKRA1, F14150_1, MGC138628	NM_003721	8625	8625	NM_001278727
RFXAP	regulatory factor X associated protein			NM_000538	5994	5994	NM_000538
RGCC	regulator of cell cycle	C13orf15	bA157L14.2, RGC-32, RGC32	NM_014059	28984	28984	NM_014059
RGL1	ral guanine nucleotide dissociation stimulator like 1		RGL	NM_015149	23179	23179	NM_001297669
RGL2	ral guanine nucleotide dissociation stimulator like 2	RAB2L	KE1.5, HKE1.5		5863	5863	NM_001243738
RGL3	ral guanine nucleotide dissociation stimulator like 3		FLJ32585	NM_001161616	57139	57139	NM_001035223
RGL4	ral guanine nucleotide dissociation stimulator like 4		Rgr	NM_153615	266747	266747	NM_001329424
RGL4P1	RGL4 pseudogene 1				100422292	100422292	NG_027479
RGMA	repulsive guidance molecule BMP co-receptor a		RGM	NM_020211	56963	56963	NM_001166283
RGMB	repulsive guidance molecule BMP co-receptor b		FLJ90406, DRAGON	NM_173670	285704	285704	NM_001012761
RGMB-AS1	RGMB antisense RNA 1			NR_033932	503569	503569	NR_033932
RGN	regucalcin		SMP30, RC	NM_004683	9104	9104	NM_001282848
RGP1	RGP1 homolog, RAB6A GEF complex partner 1	KIAA0258		NM_014785	9827	9827	NM_001080496
RGPD1	RANBP2 like and GRIP domain containing 1		RGP1	NM_001024457	400966	400966	NM_001024457
RGPD2	RANBP2 like and GRIP domain containing 2		RGP2, RANBP2L2	NM_001078170	729857	729857	NM_001078170
RGPD3	RANBP2 like and GRIP domain containing 3		RGP3	NM_001144013	653489	653489	NM_001144013
RGPD4	RANBP2 like and GRIP domain containing 4		RGP4, DKFZp686P0288	NM_182588	285190	285190	NM_182588
RGPD4-AS1	RGPD4 antisense RNA 1 (head to head)				729121	729121	NR_024439
RGPD5	RANBP2 like and GRIP domain containing 5		RGP5, BS-63, DKFZp686I1842	NM_005054	84220	84220	NM_005054
RGPD6	RANBP2 like and GRIP domain containing 6		RGP6	NM_001123363	729540	729540	NM_001037866
RGPD8	RANBP2 like and GRIP domain containing 8	RANBP2L1	RanBP2alpha	NM_001164463	727851	727851	NM_001164463
RGR	retinal G protein coupled receptor		RP44	NM_002921	5995	5995	NM_001012720
RGS1	regulator of G protein signaling 1	IER1	1R20, IR20, BL34	NM_002922	5996	5996	NM_002922
RGS2	regulator of G protein signaling 2	G0S8		NM_002923	5997	5997	NM_002923
RGS2-AS1	RSG2 antisense RNA 1	LINC01032				102724954	NR_126003
RGS3	regulator of G protein signaling 3		C2PA, FLJ20370, PDZ-RGS3	NM_017790	5998	5998	NM_001276260
RGS4	regulator of G protein signaling 4	SCZD9		NM_005613	5999	5999	NM_001102445
RGS5	regulator of G protein signaling 5			NM_003617	8490	8490	NM_001195303
RGS5-AS1	RGS5 antisense RNA 1			NR_110699	101928404	101928404	NR_110699
RGS6	regulator of G protein signaling 6				9628	9628	NM_001204416
RGS7	regulator of G protein signaling 7			NM_002924	6000	6000	NM_001282773
RGS7BP	regulator of G protein signaling 7 binding protein		R7BP	NM_001029875	401190	401190	NM_001029875
RGS8	regulator of G protein signaling 8		MGC119067, MGC119068, MGC119069	NM_033345	85397	85397	NM_001102450
RGS9	regulator of G protein signaling 9		PERRS, RGS9L, MGC26458, MGC111763	NM_003835	8787	8787	NM_001081955
RGS9BP	regulator of G protein signaling 9 binding protein		FLJ45744, PERRS, R9AP	NM_207391	388531	388531	NM_207391
RGS10	regulator of G protein signaling 10			NM_002925	6001	6001	NM_001005339
RGS11	regulator of G protein signaling 11				8786	8786	NM_001286485
RGS12	regulator of G protein signaling 12			NM_002926	6002	6002	NM_001394154
RGS13	regulator of G protein signaling 13			NM_002927	6003	6003	NM_002927
RGS14	regulator of G protein signaling 14			NM_006480	10636	10636	NM_001366617
RGS16	regulator of G protein signaling 16		A28-RGS14, RGS-r	NM_002928	6004	6004	NM_002928
RGS17	regulator of G protein signaling 17		RGSZ2, RGS-17		26575	26575	NM_012419
RGS17P1	regulator of G protein signaling 17 pseudogene 1				100128628	100128628	NG_011456
RGS18	regulator of G protein signaling 18		RGS13	NM_130782	64407	64407	NM_130782
RGS19	regulator of G protein signaling 19		GAIP, RGSGAIP	NM_005873	10287	10287	NM_001039467
RGS20	regulator of G protein signaling 20		RGSZ1, ZGAP1		8601	8601	NM_001286673
RGS21	regulator of G protein signaling 21				431704	431704	NM_001039152
RGS22	regulator of G protein signaling 22		DKFZP434I092, PRTD-NY2, CT145	NM_015668	26166	26166	NM_001286692
RGSL1	regulator of G protein signaling like 1	RGSL2		NM_181572	353299	353299	NM_001137669
RGSL2	symbol withdrawn, see [HGNC:18636](/data/gene-symbol-report/#!/hgnc_id/HGNC:18636)	RGSL2					
RH	symbol withdrawn, see [HGNC:10009](/data/gene-symbol-report/#!/hgnc_id/HGNC:10009) and [HGNC:10008](/data/gene-symbol-report/#!/hgnc_id/HGNC:10008)						
RHAG	Rh associated glycoprotein		RH50A, CD241, SLC42A1		6005	6005	NM_000324
RHBDD1	rhomboid domain containing 1		DKFZp547E052, RHBDL4		84236	84236	NM_001167608
RHBDD2	rhomboid domain containing 2	RHBDL7	NPD007	NM_020684	57414	57414	NM_001040456
RHBDD3	rhomboid domain containing 3	C22orf3	PTAG	NM_012265	25807	25807	NM_001329536
RHBDF1	rhomboid 5 homolog 1	C16orf8	EGFR-RS, FLJ2235, Dist1, iRhom1	NM_022450	64285	64285	NM_022450
RHBDF1P1	RHBDF1 pseudogene 1				131973	131973	NG_022195
RHBDF2	rhomboid 5 homolog 2	RHBDL6, TOC	FLJ22341, RHBDL5, TOCG, iRhom2	NM_024599	79651	79651	NM_001005498
RHBDL1	rhomboid like 1	RHBDL	RRP	NM_003961	9028	9028	NM_001278720
RHBDL2	rhomboid like 2		FLJ20435	NM_017821	54933	54933	NM_001304746
RHBDL3	rhomboid like 3	RHBDL4	VRHO	NM_138328	162494	162494	NM_001330181
RHBDL4	symbol withdrawn, see [HGNC:16502](/data/gene-symbol-report/#!/hgnc_id/HGNC:16502)		VRHO				
RHBG	Rh family B glycoprotein		SLC42A2	NM_001256395	57127	57127	NM_001256395
RHCE	Rh blood group CcEe antigens	RH	CD240CE	NM_020485	6006	6006	NM_001330430
RHCG	Rh family C glycoprotein	C15orf6	RHGK, PDRC2, SLC42A3	NM_016321	51458	51458	NM_001321041
RHD	Rh blood group D antigen	RH	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	NM_016124	6007	6007	NM_001127691
RHEB	Ras homolog, mTORC1 binding	RHEB2		NM_005614	6009	6009	NM_005614
RHEBL1	RHEB like 1		MGC34869, FLJ25797, RHEB2	NM_144593	121268	121268	NM_001303126
RHEBP1	RHEB pseudogene 1	RHEB1	RHEB		6008	6008	NG_002826
RHEBP2	RHEB pseudogene 2				101060032	101060032	
RHEBP3	RHEB pseudogene 3			NG_005692	692231	692231	NG_005692
RHEX	regulator of hemoglobinization and erythroid cell expansion	C1orf186	FLJ16052	NM_001007544	440712	440712	NM_001007544
RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	C12orf32	HKMT1188, MGC13204, RHINO	NM_031465	83695	83695	NM_001252499
RHO	rhodopsin	RP4	OPN2, CSNBAD1	NM_000539	6010	6010	NM_000539
RHOA	ras homolog family member A	ARH12, ARHA	Rho12, RHOH12	NM_001664	387	387	NM_001313941
RHOA-IT1	RHOA intronic transcript 1					106480739	
RHOB	ras homolog family member B	ARH6, ARHB	RHOH6, MST081	NM_004040	388	388	NM_004040
RHOBTB1	Rho related BTB domain containing 1		KIAA0740		9886	9886	NM_001242359
RHOBTB2	Rho related BTB domain containing 2		KIAA0717, DBC2		23221	23221	NM_001160036
RHOBTB3	Rho related BTB domain containing 3		KIAA0878	NM_014899	22836	22836	NM_014899
RHOC	ras homolog family member C	ARH9, ARHC		NM_175744	389	389	NM_001042678
RHOD	ras homolog family member D	ARHD	RhoHP1, Rho	NM_014578	29984	29984	NM_001300886
RHOF	ras homolog family member F, filopodia associated	ARHF	FLJ20247, RIF		54509	54509	NM_019034
RHOG	ras homolog family member G	ARHG	MGC125835, MGC125836	NM_001665	391	391	NM_001665
RHOG2P	RHOG family member 2, pseudogene				392489	392489	NG_022671
RHOH	ras homolog family member H	ARHH	TTF	NM_004310	399	399	NM_001278359
RHOJ	ras homolog family member J	RASL7B, ARHJ	FLJ14445, TCL		57381	57381	NM_020663
RHOQ	ras homolog family member Q	RASL7A, ARHQ	TC10	NM_012249	23433	23433	NM_012249
RHOQ-AS1	RHOQ antisense RNA 1			NR_104182	100506142	100506142	NR_104182
RHOQP1	ras homolog family member Q pseudogene 1	ARHQP, RHOQP			319093	319093	NG_002478
RHOQP2	ras homolog family member Q pseudogene 2				730041	730041	NG_023007
RHOQP3	ras homolog family member Q pseudogene 3				284988	284988	NG_022969
RHOT1	ras homolog family member T1	ARHT1	MIRO-1, FLJ11040, MIRO1	NM_018307	55288	55288	NM_001033566
RHOT1P1	ras homolog family member T1 pseudogene 1	RHOT3, RHOT1P		NG_026314	100462813	100462813	NG_026314
RHOT1P2	ras homolog family member T1 pseudogene 2				100462811	100462811	NG_021988
RHOT1P3	ras homolog family member T1 pseudogene 3				100462810	100462810	NG_021958
RHOT2	ras homolog family member T2	C16orf39, ARHT2	MIRO-2, MIRO2	NM_138769	89941	89941	NM_001352275
RHOU	ras homolog family member U	ARHU	WRCH-1, DJ646B12.2, FLJ10616, WRCH1, CDC42L1, hG28K, fJ646B12.2	NM_021205	58480	58480	NM_021205
RHOV	ras homolog family member V	ARHV	Chp, WRCH2		171177	171177	NM_133639
RHOXF1	Rhox homeobox family member 1		OTEX, PEPP1	NM_139282	158800	158800	NM_139282
RHOXF1-AS1	RHOXF1 antisense RNA 1				101928969	101928969	NR_131238
RHOXF1P1	Rhox homeobox family member 1 pseudogene 1		TCONS_00017086		101928941	101928941	NR_131250
RHOXF1P2	Rhox homeobox family member 1 pseudogene 2				107075106	107075106	NG_046544
RHOXF1P3	Rhox homeobox family member 1 pseudogene 3				107075307	107075307	NG_046545
RHOXF2	Rhox homeobox family member 2		THG1, PEPP-2, PEPP2, CT107	NM_032498	84528	84528	NM_032498
RHOXF2B	Rhox homeobox family member 2B			NM_001099685	727940	727940	NM_001099685
RHPN1	rhophilin Rho GTPase binding protein 1		KIAA1929, RHPN, ODF5		114822	114822	NM_052924
RHPN1-AS1	RHPN1 antisense RNA 1 (head to head)	C8orf51	MGC3113	NR_026785	78998	78998	NR_026785
RHPN2	rhophilin Rho GTPase binding protein 2			NM_033103	85415	85415	NM_033103
RHPN2P1	rhophilin Rho GTPase binding protein 2 pseudogene 1			XR_017120	646090	646090	NG_023012
RIBC1	RIB43A domain with coiled-coils 1		FLJ32783	NM_144968	158787	158787	NM_001031745
RIBC2	RIB43A domain with coiled-coils 2	C22orf11	DKFZp566F0546, FLJ25720	NM_015653	26150	26150	NM_015653
RIC1	RIC1 homolog, RAB6A GEF complex partner 1	KIAA1432	bA207C16.1	NM_020829	57589	57589	NM_001135920
RIC3	RIC3 acetylcholine receptor chaperone		FLJ11608, PRO1385, AYST720	NM_024557	79608	79608	NM_001135109
RIC3-DT	RIC3 divergent transcript				101927936	101927936	XR_931009
RIC8A	RIC8 guanine nucleotide exchange factor A		synembryn, synembryn-A	NM_021932	60626	60626	NM_001286134
RIC8B	RIC8 guanine nucleotide exchange factor B		FLJ10620, hSyn, RIC8	NM_018157	55188	55188	NM_001330145
RICTOR	RPTOR independent companion of MTOR complex 2		MGC39830, AVO3, PIA, KIAA1999	NM_152756	253260	253260	NM_001285439
RIDA	reactive intermediate imine deaminase A homolog	HRSP12	UK114, P14.5, PSP	NM_005836	10247	10247	NM_005836
RIEG1	symbol withdrawn, see [HGNC:9005](/data/gene-symbol-report/#!/hgnc_id/HGNC:9005)						
RIEG2	Rieger syndrome 2		ARS				
RIF1	replication timing regulatory factor 1		FLJ12870, FLJ10599		55183	55183	NM_001177663
RIGI	RNA sensor RIG-I	DDX58	RIG-I, FLJ13599, DKFZp434J1111, RIG-1, RIG1	NM_014314	23586	23586	NM_001385907
RIIAD1	regulatory subunit of type II PKA R-subunit domain containing 1	NCRNA00166, C1orf230	FLJ36032	NM_001144956	284485	284485	NM_001144956
RILP	Rab interacting lysosomal protein		FLJ31193	NM_031430	83547	83547	NM_031430
RILPL1	Rab interacting lysosomal protein like 1		FLJ39378	NM_178314	353116	353116	NM_001319243
RILPL2	Rab interacting lysosomal protein like 2		MGC7036, FLJ30380, FLJ32372	NM_145058	196383	196383	NM_145058
RIMBP2	RIMS binding protein 2		KIAA0318, RBP2, MGC15831, RIM-BP2, PPP1R133	NM_015347	23504	23504	NM_001351226
RIMBP3	RIMS binding protein 3		KIAA1666, RIMBP3.1, RIMBP3A	NM_015672	85376	85376	NM_015672
RIMBP3B	RIMS binding protein 3B			NM_001128635	440804	440804	NM_001128635
RIMBP3C	RIMS binding protein 3C			NM_001128633	150221	150221	NM_001128633
RIMKLA	ribosomal modification protein rimK like family member A	FAM80A	MGC47816, RP11-157D18.1, NAAGS-II	NM_173642	284716	284716	NM_173642
RIMKLB	ribosomal modification protein rimK like family member B	FAM80B	KIAA1238, NAAGS, NAAGS-I	NM_020734	57494	57494	NM_001297776
RIMKLBP1	ribosomal modification protein rimK like family member B pseudogene 1	FAM80C, RIMKLP, FAM80B2, RIMKLB2		NG_000912	54031	54031	NG_000912
RIMKLBP2	ribosomal modification protein rimK like family member B pseudogene 2					100422371	NG_027041
RIMKLP	symbol withdrawn, see [HGNC:34034](/data/gene-symbol-report/#!/hgnc_id/HGNC:34034)	RIMKLP					
RIMOC1	RAB7A interacting MON1-CCZ1 complex subunit 1	C5orf51	LOC285636	NM_175921	285636	285636	NM_175921
RIMS1	regulating synaptic membrane exocytosis 1	RAB3IP2, CORD7	RIM, KIAA0340, RIM1	NM_014989	22999	22999	NM_001168407
RIMS2	regulating synaptic membrane exocytosis 2	RAB3IP3	KIAA0751, RIM2, OBOE	NM_001100117	9699	9699	NM_001100117
RIMS3	regulating synaptic membrane exocytosis 3		RIM3, NIM3	NM_014747	9783	9783	NM_014747
RIMS4	regulating synaptic membrane exocytosis 4	C20orf190	dJ781B1.3	NM_182970	140730	140730	NM_001205317
RIN1	Ras and Rab interactor 1			NM_004292	9610	9610	NM_001363559
RIN2	Ras and Rab interactor 2		RASSF4		54453	54453	NM_001242581
RIN3	Ras and Rab interactor 3		FLJ22439		79890	79890	NM_001319987
RING1	ring finger protein 1		RNF1		6015	6015	NM_002931
RINL	Ras and Rab interactor like		FLJ45909	NM_198445	126432	126432	NM_001195833
RINT1	RAD50 interactor 1		FLJ11785, RINT-1	NM_021930	60561	60561	NM_001346599
RIOK1	RIO kinase 1		AD034, FLJ30006, bA288G3.1, RRP10	NM_031480	83732	83732	NM_001348194
RIOK2	RIO kinase 2		FLJ11159	NM_018343	55781	55781	NM_001159749
RIOK3	RIO kinase 3	SUDD		NM_003831	8780	8780	NM_001348193
RIOK3P1	RIO kinase 3 pseudogene 1				122145	122145	NG_002288
RIOX1	ribosomal oxygenase 1	C14orf169	FLJ21802, NO66, MAPJD, JMJD9	NM_024644	79697	79697	NM_024644
RIOX2	ribosomal oxygenase 2	MINA	MINA53, FLJ14393, mdig, NO52, JMJD10	NM_032778	84864	84864	NM_001042533
RIPK1	receptor interacting serine/threonine kinase 1		RIP, RIP1, RIP-1	NM_003804	8737	8737	NM_001317061
RIPK2	receptor interacting serine/threonine kinase 2		RICK, RIP2, CARDIAK, CARD3		8767	8767	NM_001375360
RIPK3	receptor interacting serine/threonine kinase 3		RIP3	NM_006871	11035	11035	NM_006871
RIPK4	receptor interacting serine/threonine kinase 4	ANKRD3	DIK, ANKK2, RIP4, PKK	NM_020639	54101	54101	NM_020639
RIPOR1	RHO family interacting cell polarization regulator 1	FAM65A	FLJ13725	NM_024519	79567	79567	NM_001193522
RIPOR2	RHO family interacting cell polarization regulator 2	C6orf32, FAM65B	KIAA0386, DIFF48, MYONAP		9750	9750	NM_001286445
RIPOR3	RIPOR family member 3	C20orf175, C20orf176, FAM65C	dJ530I15.2, dJ530I15.3		140876	140876	NM_001290268
RIPOR3-AS1	RIPOR3 antisense RNA 1			NR_111906	100506175	100506175	NR_111906
RIPPLY1	ripply transcriptional repressor 1				92129	92129	NM_001171706
RIPPLY2	ripply transcriptional repressor 2	C6orf159	dJ237I15.1	NM_001009994	134701	134701	NM_001009994
RIPPLY3	ripply transcriptional repressor 3	DSCR6			53820	53820	NM_001317768
RIPPLY3P1	RIPPLY3 pseudogene 1	DSCR6P1		NG_027264	100421053	100421053	NG_027264
RIR	symbol withdrawn, see [HGNC:581](/data/gene-symbol-report/#!/hgnc_id/HGNC:581)						
RIT1	Ras like without CAAX 1	RIT	RIBB, ROC1, MGC125864, MGC125865	NM_006912	6016	6016	NM_001256820
RIT2	Ras like without CAAX 2	RIN	RIBA	NM_002930	6014	6014	NM_001272077
RITA1	RBPJ interacting and tubulin associated 1	C12orf52	FLJ14827, RITA	NM_032848	84934	84934	NM_001286215
RLBP1	retinaldehyde binding protein 1		CRALBP	NM_000326	6017	6017	NM_000326
RLF	RLF zinc finger		ZNF292L, Zn-15L	NM_012421	6018	6018	NM_012421
RLFP1	RLF pseudogene 1	RLFP		NG_001289	57008	57008	NG_013277
RLIG1	RNA 5'-phosphate and 3'-OH ligase 1	C12orf29	DKFZp434N2030	NM_001009894	91298	91298	NM_001009894
RLIG1P1	RLIG1 pseudogene 1	C12orf29P1			100129574	100129574	NG_021882
RLIG1P2	RLIG1 pseudogene 2	C12orf29P2			100129989	100129989	NG_030113
RLIG1P3	RLIG1 pseudogene 3	C12orf29P3			100129100	100129100	
RLIM	ring finger protein, LIM domain interacting	RNF12	NY-REN-43, MGC15161	NM_016120	51132	51132	NM_016120
RLIMP1	ring finger protein, LIM domain interacting pseudogene 1					100533695	NG_023244
RLIMP2	ring finger protein, LIM domain interacting pseudogene 2					100533731	NG_028828
RLIMP3	ring finger protein, LIM domain interacting pseudogene 3				645453	645453	NG_022128
RLN1	relaxin 1		H1		6013	6013	NM_006911
RLN2	relaxin 2		H2, RLXH2, bA12D24.1.1, bA12D24.1.2	NM_134441	6019	6019	NM_001329191
RLN3	relaxin 3		ZINS4, RXN3, H3		117579	117579	NM_001311197
RLNL	symbol withdrawn, see [HGNC:6086](/data/gene-symbol-report/#!/hgnc_id/HGNC:6086)						
RMB8AP1	RBM8A pseudogene 1	RBM8B			112846	112846	NG_002415
RMC1	regulator of MON1-CCZ1	C18orf8, WDR98	MIC1, HsT2591	NM_013326	29919	29919	NM_001276342
RMCH	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)						
RMD1	rippling muscle disease 1						
RMDN1	regulator of microtubule dynamics 1	FAM82B	CGI-90, FLJ20665, RMD1	NM_016033	51115	51115	NM_001286707
RMDN2	regulator of microtubule dynamics 2	FAM82A, FAM82A1	FLJ32954, RMD2	NM_144713	151393	151393	NM_001170791
RMDN2-AS1	RMDN2 antisense RNA 1					101410544	NR_102712
RMDN3	regulator of microtubule dynamics 3	FAM82C, FAM82A2	FLJ10579, PTPIP51, RMD3	NM_018145	55177	55177	NM_001304802
RMEL3	enriched in melanoma 3				102724122	102724122	XR_007059132
RMI1	RecQ mediated genome instability 1	C9orf76	FLJ12888, BLAP75	NM_024945	80010	80010	NM_001358291
RMI2	RecQ mediated genome instability 2	C16orf75	MGC24665, BLAP18	NM_152308	116028	116028	NM_152308
RMND1	required for meiotic nuclear division 1 homolog	C6orf96	bA351K16.3, FLJ20627, RMD1	NM_017909	55005	55005	NM_001271937
RMND5A	required for meiotic nuclear division 5 homolog A		FLJ13910, RMD5, GID2, GID2A, p44CTLH	NM_022780	64795	64795	NM_022780
RMND5B	required for meiotic nuclear division 5 homolog B		FLJ22318, GID2, GID2B	NM_022762	64777	64777	NM_001288794
RMRP	RNA component of mitochondrial RNA processing endoribonuclease	CHH	RMRPR, RRP2, NME1	NR_003051	6023	6023	NR_003051
RMRPP1	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 1						
RMRPP2	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 2						
RMRPP3	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 3						
RMRPP4	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 4						
RMRPP5	RNA component of mitochondrial RNA processing endoribonuclease pseudogene 5				106481874	106481874	NG_044569
RMSA1	regulator of mitotic spindle assembly 1						
RMST	rhabdomyosarcoma 2 associated transcript		NCRMS, NCRNA00054, LINC00054	NR_024037	196475	196475	NR_024037
RN5S	symbol withdrawn, see [HGNC:10034](/data/gene-symbol-report/#!/hgnc_id/HGNC:10034)						
RN5S1@	RNA, 5S ribosomal 1q42 cluster	RN5S					
RN5S2@	RNA, 5S cluster 2						
RN5S3@	RNA, 5S cluster 3						
RN7SK	RNA component of 7SK nuclear ribonucleoprotein		7SK	NR_001445	125050	125050	NR_001445
RN7SKL	RNA, 7SK small nuclear-like						
RN7SKP1	RN7SK pseudogene 1				100873845	100873845	NG_032625
RN7SKP2	RN7SK pseudogene 2				100873846	100873846	NG_032626
RN7SKP3	RN7SK pseudogene 3				100873847	100873847	NG_032627
RN7SKP4	RN7SK pseudogene 4				100873848	100873848	NG_032628
RN7SKP5	RN7SK pseudogene 5				100873849	100873849	NG_032629
RN7SKP6	RN7SK pseudogene 6				100873850	100873850	NG_032630
RN7SKP7	RN7SK pseudogene 7				100873851	100873851	NG_032631
RN7SKP8	RN7SK pseudogene 8				100873852	100873852	NG_032632
RN7SKP9	RN7SK pseudogene 9				100873853	100873853	NG_032633
RN7SKP10	RN7SK pseudogene 10				100873873	100873873	NG_032646
RN7SKP11	RN7SK pseudogene 11				106479099	106479099	NG_044898
RN7SKP12	RN7SK pseudogene 12				106480836	106480836	NG_045853
RN7SKP13	RN7SK pseudogene 13				106479100	106479100	NG_044908
RN7SKP14	RN7SK pseudogene 14				106479101	106479101	NG_044915
RN7SKP15	RN7SK pseudogene 15				106480456	106480456	NG_043498
RN7SKP16	RN7SK pseudogene 16				106480837	106480837	NG_045860
RN7SKP17	RN7SK pseudogene 17				106479102	106479102	NG_045208
RN7SKP18	RN7SK pseudogene 18				106480838	106480838	NG_044474
RN7SKP19	RN7SK pseudogene 19				106479103	106479103	NG_044928
RN7SKP20	RN7SK pseudogene 20				106479104	106479104	NG_015963
RN7SKP21	RN7SK pseudogene 21				106480839	106480839	NG_044480
RN7SKP22	RN7SK pseudogene 22				106481805	106481805	NG_045685
RN7SKP23	RN7SK pseudogene 23				106479105	106479105	NG_042907
RN7SKP24	RN7SK pseudogene 24				106480840	106480840	NG_045867
RN7SKP25	RN7SK pseudogene 25				106480364	106480364	NG_045978
RN7SKP26	RN7SK pseudogene 26				106479106	106479106	NG_045241
RN7SKP27	RN7SK pseudogene 27				106480841	106480841	NG_044493
RN7SKP28	RN7SK pseudogene 28				106479107	106479107	NG_042920
RN7SKP29	RN7SK pseudogene 29				106480457	106480457	NG_043507
RN7SKP30	RN7SK pseudogene 30				106479108	106479108	NG_064631
RN7SKP31	RN7SK pseudogene 31				106480842	106480842	NG_044503
RN7SKP32	RN7SK pseudogene 32				106479109	106479109	NG_042938
RN7SKP33	RN7SK pseudogene 33				106480843	106480843	NG_044513
RN7SKP34	RN7SK pseudogene 34				106479110	106479110	NG_042946
RN7SKP35	RN7SK pseudogene 35				106479111	106479111	NG_045261
RN7SKP36	RN7SK pseudogene 36				106480458	106480458	NG_043516
